Análise Detalhada de Volatilidade por Período,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,,,,,,,,,,
Fav,Symbol,Period,+5%,-5%,±5%,+10%,-10%,±10%,+15%,-15%,±15%,+20%,-20%,±20%,Score,Score/M
A,BTC,12M,12,12,24,4,4,8,0,0,0,0,0,0,36,3
A,BTC,6M,6,6,12,0,2,2,0,0,0,0,0,0,15,2.5
A,BTC,3M,3,5,8,0,2,2,0,0,0,0,0,0,11,3.7
A,BTC,1M,0,1,1,0,0,0,0,0,0,0,0,0,1,1
A,ETH,12M,21,15,36,8,9,17,4,7,11,1,0,1,86,7.2
A,ETH,6M,11,9,20,4,5,9,4,2,6,0,0,0,45.5,7.6
A,ETH,3M,6,5,11,2,3,5,0,2,2,0,0,0,22.5,7.5
A,ETH,1M,3,2,5,0,0,0,0,0,0,0,0,0,5,5
,XRP,12M,15,24,39,9,8,17,3,4,7,4,2,6,93.5,7.8
,XRP,6M,7,12,19,5,6,11,0,0,0,2,1,3,43,7.2
,XRP,3M,3,6,9,4,4,8,0,0,0,0,1,1,23.5,7.8
,XRP,1M,2,3,5,0,0,0,0,0,0,0,0,0,5,5
,BNB,12M,16,15,31,5,3,8,2,3,5,0,0,0,53,4.4
,BNB,6M,12,6,18,2,2,4,2,2,4,0,0,0,32,5.3
,BNB,3M,4,3,7,1,2,3,1,2,3,0,0,0,17.5,5.8
,BNB,1M,0,1,1,0,0,0,0,0,0,0,0,0,1,1
,TRX,12M,12,16,28,2,2,4,0,0,0,0,0,0,34,2.8
,TRX,6M,5,8,13,0,0,0,0,0,0,0,0,0,13,2.2
,TRX,3M,0,5,5,0,0,0,0,0,0,0,0,0,5,1.7
,TRX,1M,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,ADA,12M,20,19,39,7,14,21,4,5,9,4,4,8,108.5,9
A,ADA,6M,13,6,19,5,9,14,1,2,3,2,1,3,53.5,8.9
A,ADA,3M,5,2,7,3,6,9,1,2,3,0,1,1,29,9.7
A,ADA,1M,2,2,4,1,2,3,0,0,0,0,0,0,8.5,8.5
,BCH,12M,17,19,36,8,9,17,3,1,4,3,1,4,79.5,6.6
,BCH,6M,11,9,20,3,4,7,3,0,3,0,0,0,36.5,6.1
,BCH,3M,4,4,8,2,3,5,2,0,2,0,0,0,19.5,6.5
,BCH,1M,1,2,3,0,0,0,1,0,1,0,0,0,5,5
A,LINK,12M,19,19,38,10,10,20,7,7,14,3,3,6,111,9.2
A,LINK,6M,14,9,23,4,6,10,4,3,7,1,1,2,57,9.5
A,LINK,3M,6,5,11,2,2,4,2,3,5,0,1,1,29.5,9.8
A,LINK,1M,3,1,4,0,1,1,0,0,0,0,0,0,5.5,5.5
,XLM,12M,18,28,46,8,11,19,2,3,5,4,1,5,97,8.1
,XLM,6M,10,13,23,5,6,11,0,0,0,2,1,3,47,7.8
,XLM,3M,6,6,12,3,4,7,0,0,0,0,1,1,25,8.3
,XLM,1M,3,3,6,0,1,1,0,0,0,0,0,0,7.5,7.5
,XMR,12M,18,17,35,9,8,17,4,2,6,2,0,2,77.5,6.5
,XMR,6M,7,11,18,7,4,11,2,1,3,1,0,1,43,7.2
,XMR,3M,5,5,10,5,2,7,1,1,2,1,0,1,27,9
,XMR,1M,1,3,4,2,0,2,0,0,0,0,0,0,7,7
,LTC,12M,15,19,34,6,13,19,3,2,5,3,3,6,87.5,7.3
,LTC,6M,9,9,18,3,7,10,1,0,1,1,1,2,40,6.7
,LTC,3M,6,5,11,0,5,5,0,0,0,1,1,2,23.5,7.8
,LTC,1M,2,2,4,0,0,0,0,0,0,0,0,0,4,4
,AVAX,12M,17,16,33,9,15,24,8,7,15,4,3,7,116.5,9.7
,AVAX,6M,10,8,18,7,7,14,4,2,6,1,1,2,56,9.3
,AVAX,3M,3,4,7,4,5,9,1,2,3,0,1,1,29,9.7
,AVAX,1M,2,1,3,1,2,3,0,0,0,0,0,0,7.5,7.5
